"";"friends w1";"friends w2";"friends w3";"atmentions w1";"atmentions w2";"atmentions w3";"retweets w1";"retweets w2";"retweets w3"
"total";0,254558337269721;0,279452054794521;0,279796850246948;0,0491261218705716;0,0350023618327822;0,0134656602366974;0,0460085025980161;0,0340136054421769;0,0337340415618302
"same sex";0,263040769093822;0,288766245326687;0,28831669294097;0,0527861847961545;0,0356952109667082;0,0137502189525311;0,0457539611892469;0,0336311087756174;0,0328428796636889
"different sex";0,244967793880837;0,268921095008052;0,270111509358821;0,044987922705314;0,034219001610306;0,013142174432497;0,0462962962962963;0,0344484269215452;0,034747112704102
"same party";0,709127789046653;0,733468559837728;0,741545893719807;0,199188640973631;0,142393509127789;0,0636070853462158;0,335496957403651;0,250402576489533;0,247987117552335
"different party";0,194653835872761;0,219620422346966;0,219359258088313;0,0293504410585405;0,020850040096231;0,00690272947623564;0,0078588612670409;0,00569079987353778;0,00569079987353778
"same ethnicity";0,265549676660788;0,288536155202822;0,288592935726694;0,049265138154027;0,0357436801881246;0,0134916039374638;0,0479717813051146;0,0349160393746381;0,0338158656629994
"different ethnicity";0,209615384615385;0,242307692307692;0,243559160305344;0,0485576923076923;0,0319711538461538;0,0133587786259542;0,0379807692307692;0,0302958015267176;0,0333969465648855
"both minority";0,253750597228858;0,2786430960344;0,27900292149656;0,0485905398948877;0,0349737219302437;0,0135708227311281;0,0457238413760153;0,0340212986523419;0,0335500895297333
"same age (<6)";0,293300887489264;0,313770397938735;0,313158644260894;0,0586888061837962;0,0369310048668766;0,0146681857020792;0,0522473518465502;0,0371688977499288;0,0370264881800057
"different age (>5)";0,235476593344614;0,262549351381839;0,263573407202216;0,0444162436548223;0,0340524534686971;0,0128808864265928;0,0429357021996616;0,0324792243767313;0,0321329639889197
